trade_date,open,high,low,close,volume
2019-01-02,3.6528,4.0002,3.6528,3.9506,194023.07
2019-01-03,3.9704,4.1292,3.891,4.0598,120843.68
2019-01-04,4.0002,4.159,3.9903,4.1094,115792.6
2019-01-07,4.169,4.298,4.1292,4.2682,102962.55
2019-01-08,4.3278,4.3873,4.2583,4.3278,98052.91
2019-01-09,4.3377,4.3973,4.2285,4.2781,110894.88
2019-01-10,4.2781,4.4171,4.2682,4.3575,102204.65
2019-01-11,4.3675,4.437,4.3079,4.3973,78151.44
2019-01-14,4.4171,4.4568,4.2186,4.3476,99968.7
2019-01-15,4.3973,4.4072,4.298,4.3774,77087.2
2019-01-16,4.3873,4.3973,4.3079,4.3476,53724.24
2019-01-17,4.3377,4.3774,4.2881,4.3377,63286.0
2019-01-18,4.3079,4.4469,4.2881,4.3278,79566.32
2019-01-21,4.3178,4.4767,4.3079,4.3675,68803.91
2019-01-22,4.3675,4.3873,4.2384,4.2583,89507.54
2019-01-23,4.2484,4.3476,4.1888,4.1987,78905.21
2019-01-24,4.2384,4.298,4.1789,4.2583,73500.74
2019-01-25,4.2583,4.298,4.1789,4.1789,60853.0
2019-01-28,4.2285,4.2781,4.1094,4.1193,66176.0
2019-01-29,4.169,4.1789,3.9804,4.0002,86710.27
2019-01-30,4.03,4.0498,3.9307,3.9407,60630.99
2019-01-31,3.7719,3.9903,3.7719,3.891,165607.79
2019-02-01,3.8811,4.0201,3.8712,4.0002,71465.84
2019-02-11,4.0598,4.3575,4.0598,4.3476,185579.87
2019-02-12,4.3476,4.427,4.2781,4.3774,154624.17
2019-02-13,4.3873,4.6851,4.3774,4.6256,242243.96
2019-02-14,4.5858,4.7546,4.5759,4.6752,188976.68
2019-02-15,5.0623,5.1417,4.7943,4.8638,437352.41
2019-02-18,4.8638,4.9531,4.7645,4.9531,271407.22
2019-02-19,4.9233,5.1219,4.8737,5.102,303778.62
2019-02-20,5.0722,5.1913,4.9928,5.1417,258885.19
2019-02-21,5.1318,5.2013,5.0722,5.1417,232921.04
2019-02-22,5.1417,5.1913,5.1119,5.1715,181081.35
2019-02-25,5.1913,5.499,5.1616,5.499,292887.13
2019-02-26,5.4494,5.6082,5.3998,5.4196,255488.32
2019-02-27,5.4097,5.4494,5.2112,5.231,201657.81
2019-02-28,5.2707,5.4395,5.2707,5.3204,167891.71
2019-03-01,5.4296,5.4296,5.2707,5.3601,114251.67
2019-03-04,5.4296,5.5884,5.3601,5.4593,260497.5
2019-03-05,5.509,5.7571,5.3899,5.7571,285844.88
2019-03-06,5.7571,6.1542,5.5884,5.9159,491625.46
2019-03-07,5.9556,6.045,5.8266,5.8862,279361.45
