trade_date,open,high,low,close,volume
2019-01-02,6.9049,7.0008,6.7567,6.8526,104152.88
2019-01-03,6.7567,6.7916,6.5039,6.5998,128365.98
2019-01-04,6.5213,6.7306,6.4516,6.7044,95175.17
2019-01-07,6.7044,6.8613,6.5562,6.748,112502.0
2019-01-08,6.7306,6.7654,6.6608,6.7218,60152.68
2019-01-09,6.7131,6.7567,6.5823,6.6695,76030.64
2019-01-10,6.6347,6.7131,6.5213,6.5649,80792.58
2019-01-11,6.5649,6.6085,6.408,6.4429,93475.71
2019-01-14,6.469,6.5213,6.2946,6.3382,104207.08
2019-01-15,6.3644,6.4341,6.2772,6.3905,107502.15
2019-01-16,6.3905,6.5823,6.3818,6.5649,117414.87
2019-01-17,6.5562,6.7131,6.469,6.6085,107374.24
2019-01-18,6.6085,6.687,6.5649,6.6695,68945.33
2019-01-21,6.6695,6.8177,6.6434,6.8177,83136.68
2019-01-22,6.8265,6.8265,6.6957,6.748,79159.6
2019-01-23,6.7654,6.8701,6.7218,6.8439,45504.92
2019-01-24,6.8526,7.088,6.8265,7.0357,76232.83
2019-01-25,7.0357,7.1054,6.9834,7.0967,73658.14
2019-01-28,7.1054,7.1229,6.8526,6.8875,78131.25
2019-01-29,6.9572,7.0357,6.8003,6.9311,78600.89
2019-01-30,6.8265,7.0357,6.6695,6.7131,70132.55
2019-01-31,6.7654,7.088,6.6957,6.8003,117701.18
2019-02-01,6.8177,7.0008,6.809,6.8526,61426.65
2019-02-11,6.8962,7.2449,6.8962,7.2014,126163.16
2019-02-12,7.1839,7.1839,7.0008,7.0531,117339.54
2019-02-13,7.0008,7.0793,6.9572,7.0531,142747.17
2019-02-14,7.0095,7.088,6.9572,7.0095,82043.89
2019-02-15,7.0183,7.1054,6.9921,7.027,70571.43
2019-02-18,7.027,7.2624,7.0008,7.2624,142422.81
2019-02-19,7.2362,7.2624,7.0357,7.1142,99684.07
2019-02-20,7.1142,7.1403,6.9921,7.0619,70110.07
