trade_date,open,high,low,close,volume
2019-01-02,3.2092,3.2263,3.1665,3.1836,35942.31
2019-01-03,3.1751,3.2263,3.158,3.1921,41020.59
2019-01-04,3.1665,3.2604,3.158,3.2604,74327.85
2019-01-07,3.3116,3.3202,3.2689,3.2945,84508.42
2019-01-08,3.2945,3.3031,3.2775,3.286,48886.97
2019-01-09,3.3031,3.3372,3.2945,3.2945,72154.05
2019-01-10,3.3116,3.3116,3.2775,3.286,49211.0
2019-01-11,3.286,3.3116,3.2689,3.2945,50606.33
2019-01-14,3.2945,3.3202,3.286,3.2945,53171.32
2019-01-15,3.286,3.3287,3.286,3.3202,66091.43
2019-01-16,3.3202,3.3287,3.3031,3.3031,42243.4
2019-01-17,3.3031,3.3287,3.2945,3.3031,49951.28
2019-01-18,3.2945,3.3287,3.2945,3.3287,51280.28
2019-01-21,3.3287,3.3458,3.3116,3.3116,67415.45
2019-01-22,3.3202,3.3458,3.2775,3.2945,66368.19
2019-01-23,3.286,3.3116,3.286,3.2945,44283.0
2019-01-24,3.2945,3.3372,3.2775,3.3202,55502.44
2019-01-25,3.3372,3.3458,3.3116,3.3202,56371.19
2019-01-28,3.3287,3.3543,3.2945,3.3116,59730.81
2019-01-29,3.3116,3.3287,3.2348,3.2945,75682.57
2019-01-30,3.2775,3.3458,3.2519,3.3116,115451.21
2019-01-31,3.3116,3.3714,3.3031,3.3372,95639.22
2019-02-01,3.3543,3.3884,3.3287,3.3799,87202.92
2019-02-11,3.3884,3.4226,3.3628,3.414,100476.08
2019-02-12,3.4055,3.4738,3.4055,3.4482,103905.37
2019-02-13,3.4482,3.5079,3.4396,3.4994,118463.56
2019-02-14,3.4994,3.5165,3.4653,3.4823,82321.53
2019-02-15,3.4994,3.5165,3.4482,3.4567,70703.14
2019-02-18,3.4823,3.5335,3.4738,3.5335,109337.1
2019-02-19,3.5335,3.5677,3.4823,3.4994,108577.85
2019-02-20,3.5079,3.5421,3.4823,3.5079,89403.02
2019-02-21,3.4994,3.5335,3.4738,3.4823,120460.8
2019-02-22,3.4823,3.5335,3.4823,3.525,101274.65
2019-02-25,3.5335,3.7298,3.5335,3.7128,377279.7
2019-02-26,3.7213,3.7725,3.6701,3.6957,284027.23
2019-02-27,3.6872,3.8067,3.6872,3.7384,222010.75
2019-02-28,3.7384,3.781,3.7213,3.7469,139442.47
2019-03-01,3.7554,3.7725,3.6872,3.7554,164454.47
2019-03-04,3.7554,3.8749,3.7554,3.8067,328475.39
2019-03-05,3.7896,3.8749,3.781,3.8664,230303.76
2019-03-06,3.8664,3.9261,3.8237,3.9091,266486.04
2019-03-07,3.9091,3.9518,3.8579,3.9091,286589.56
2019-03-08,3.8664,3.892,3.6872,3.6957,318942.86
2019-03-11,3.6957,3.9091,3.6957,3.8835,317452.81
2019-03-12,3.9176,3.9347,3.8408,3.8835,250237.08
2019-03-13,3.8835,3.9603,3.8493,3.8749,290268.26
2019-03-14,3.8749,3.9774,3.7554,3.7725,287769.73
2019-03-15,3.7981,4.0712,3.7896,3.9432,452390.03
2019-03-18,3.9518,4.131,3.8749,4.0883,440473.62
2019-03-19,4.0712,4.1481,3.9859,4.02,294916.25
2019-03-20,4.0371,4.131,3.9944,4.1139,341188.63
2019-03-21,4.1481,4.2334,4.1139,4.1822,346793.08
2019-03-22,4.2676,4.3102,4.1481,4.2419,422592.53
2019-03-25,4.2334,4.6687,4.1907,4.5236,937940.53
2019-03-26,4.5321,4.5833,4.3956,4.4468,500689.83
2019-03-27,4.4639,4.4895,4.37,4.4724,277016.4
2019-03-28,4.4468,4.498,4.2932,4.3188,268564.15
2019-03-29,4.3358,4.498,4.3273,4.4639,310854.07
2019-04-01,4.5407,4.6772,4.4639,4.609,364036.64
2019-04-02,4.6346,4.7114,4.609,4.6431,290070.87
2019-04-03,4.6346,4.7455,4.6175,4.7284,309082.33
2019-04-04,4.7284,4.9674,4.7284,4.9418,436008.27
2019-04-08,4.9504,5.0784,4.8394,4.9418,381112.97
2019-04-09,4.9418,4.9589,4.8394,4.9077,268206.28
2019-04-10,4.865,4.9077,4.7626,4.8394,240620.7
2019-04-11,4.8735,4.8906,4.737,4.7797,194071.05
2019-04-12,4.8053,4.8223,4.6858,4.7455,240446.29
2019-04-15,4.8223,4.9077,4.6516,4.6858,269454.23
2019-04-16,4.6858,4.7711,4.5833,4.7541,247143.12
2019-04-17,4.7541,4.7967,4.6858,4.6943,230090.47
2019-04-18,4.7199,4.7199,4.6346,4.6687,132627.43
2019-04-19,4.6516,4.6858,4.5833,4.6516,137208.4
2019-04-22,4.6516,4.6516,4.4212,4.4639,261876.97
2019-04-23,4.4809,4.5321,4.4383,4.4468,168469.08
2019-04-24,4.4809,4.5065,4.4383,4.4724,147098.18
2019-04-25,4.4639,4.498,4.2846,4.3017,206774.42
2019-04-26,4.3102,4.3956,4.3017,4.3358,146093.47
