trade_date,open,high,low,close,volume
2019-01-02,3.96,4.03,3.96,3.99,72637.74
2019-01-03,3.96,4.34,3.96,4.18,235072.9
2019-01-04,4.14,4.33,4.11,4.28,234271.76
2019-01-07,4.31,4.7,4.24,4.63,429006.92
2019-01-08,4.57,4.58,4.37,4.41,318450.18
2019-01-09,4.43,4.53,4.34,4.38,230388.94
2019-01-10,4.38,4.41,4.3,4.34,130677.93
2019-01-11,4.31,4.4,4.31,4.35,135255.08
2019-01-14,4.39,4.4,4.28,4.33,137692.7
2019-01-15,4.33,4.34,4.19,4.34,143508.24
2019-01-16,4.32,4.32,4.22,4.23,98805.6
2019-01-17,4.21,4.27,4.19,4.23,101211.86
2019-01-18,4.25,4.3,4.21,4.27,94965.54
2019-01-21,4.27,4.29,4.17,4.2,155362.64
2019-01-22,4.2,4.2,3.99,4.0,237900.25
2019-01-23,4.01,4.04,3.9,3.96,225708.43
2019-01-24,3.97,4.03,3.91,4.0,126093.81
2019-01-25,3.99,4.0,3.93,3.94,131171.55
2019-01-28,3.97,4.09,3.94,3.97,133836.67
2019-01-29,3.97,3.97,3.76,3.9,146898.08
2019-01-30,3.87,3.92,3.82,3.82,109494.37
2019-01-31,3.87,3.96,3.87,3.92,148998.93
2019-02-01,3.91,4.06,3.91,4.06,146221.96
2019-02-11,4.06,4.13,4.03,4.13,133337.78
2019-02-12,4.13,4.2,4.1,4.16,168475.55
2019-02-13,4.17,4.26,4.13,4.24,263489.59
2019-02-14,4.22,4.26,4.16,4.21,233298.5
2019-02-15,4.19,4.37,4.18,4.22,241128.81
2019-02-18,4.25,4.38,4.24,4.38,274323.01
2019-02-19,4.38,4.48,4.29,4.48,310186.72
2019-02-20,4.45,4.49,4.36,4.41,266456.88
2019-02-21,4.42,4.54,4.3,4.36,435075.89
2019-02-22,4.35,4.8,4.33,4.8,404773.21
2019-02-25,5.22,5.28,5.03,5.28,1404758.25
2019-02-26,5.3,5.37,5.08,5.22,974502.16
2019-02-27,5.18,5.66,5.12,5.34,889635.15
2019-02-28,5.37,5.54,5.19,5.37,552011.61
2019-03-01,5.37,5.38,5.2,5.32,401759.56
2019-03-04,5.53,5.61,5.32,5.43,546783.38
2019-03-05,5.4,5.65,5.31,5.62,566968.51
2019-03-06,5.58,5.65,5.46,5.61,520225.74
2019-03-07,5.58,5.96,5.48,5.69,554964.41
2019-03-08,5.55,5.66,5.28,5.28,544551.71
2019-03-11,5.27,5.55,5.26,5.54,395153.55
2019-03-12,5.56,5.91,5.48,5.75,704860.02
2019-03-13,5.76,6.04,5.64,5.68,696652.44
2019-03-14,5.55,5.68,5.29,5.53,407165.98
2019-03-15,5.65,5.68,5.5,5.58,306273.41
2019-03-18,5.62,5.67,5.47,5.62,247390.58
2019-03-19,5.62,5.83,5.59,5.72,334203.16
2019-03-20,5.75,6.29,5.65,6.17,735679.72
2019-03-21,6.06,6.27,5.96,6.07,559474.03
2019-03-22,6.07,6.57,6.01,6.32,581659.6
2019-03-25,6.3,6.95,6.25,6.68,976827.83
2019-03-26,6.72,6.79,6.13,6.17,717025.8
2019-03-27,6.25,6.3,5.86,6.15,326804.23
2019-03-28,6.27,6.6,6.0,6.03,469753.81
2019-03-29,6.09,6.59,6.09,6.51,630702.35
2019-04-01,6.68,6.95,6.61,6.83,570206.48
2019-04-02,6.92,7.08,6.71,6.8,544013.65
2019-04-03,6.62,6.86,6.62,6.78,346930.52
2019-04-04,6.82,6.86,6.61,6.66,359870.1
2019-04-08,6.74,6.82,6.53,6.72,367109.69
2019-04-09,6.66,6.94,6.63,6.85,411371.77
2019-04-10,6.77,6.95,6.71,6.91,326070.11
