trade_date,open,high,low,close,volume
2019-01-02,3.62,3.66,3.59,3.61,76364.38
2019-01-03,3.63,3.97,3.63,3.82,289061.46
2019-01-04,3.73,3.84,3.63,3.83,214734.46
2019-01-07,3.84,3.87,3.77,3.85,178190.2
2019-01-08,3.82,3.87,3.81,3.84,122043.9
2019-01-09,3.81,3.89,3.79,3.8,166872.0
2019-01-10,3.8,3.86,3.78,3.8,127622.2
2019-01-11,3.81,3.89,3.79,3.89,148671.73
2019-01-14,3.9,3.92,3.73,3.76,150538.75
2019-01-15,3.65,3.7,3.43,3.55,354330.58
2019-01-16,3.52,3.57,3.48,3.54,139762.62
2019-01-17,3.53,3.55,3.49,3.5,107119.0
2019-01-18,3.51,3.56,3.49,3.54,122609.24
2019-01-21,3.57,3.63,3.52,3.61,151079.37
2019-01-22,3.58,3.61,3.5,3.54,120370.26
2019-01-23,3.52,3.53,3.41,3.45,126978.08
2019-01-24,3.41,3.56,3.36,3.48,185533.24
2019-01-25,3.44,3.47,3.16,3.21,319613.79
2019-01-28,3.18,3.25,3.07,3.08,248123.4
2019-01-29,3.09,3.13,2.92,3.0,191971.05
2019-01-30,3.16,3.18,3.03,3.03,220829.39
2019-01-31,2.91,2.96,2.8,2.89,239985.94
2019-02-01,2.9,3.07,2.9,3.05,200118.77
2019-02-11,3.07,3.18,3.03,3.12,176056.5
2019-02-12,3.11,3.28,3.11,3.23,226589.65
2019-02-13,3.23,3.43,3.21,3.34,457188.44
2019-02-14,3.33,3.36,3.22,3.23,301608.7
2019-02-15,3.29,3.38,3.25,3.26,276842.24
2019-02-18,3.29,3.42,3.29,3.41,289547.85
2019-02-19,3.43,3.62,3.43,3.53,418167.06
2019-02-20,3.54,3.65,3.45,3.55,309479.14
2019-02-21,3.53,3.61,3.46,3.49,281095.06
2019-02-22,3.49,3.66,3.46,3.57,358294.5
2019-02-25,3.59,3.93,3.59,3.93,550935.87
2019-02-26,4.06,4.19,3.91,3.98,830533.98
2019-02-27,3.9,4.1,3.82,3.98,476311.38
2019-02-28,3.94,4.13,3.93,4.01,334397.22
2019-03-01,4.07,4.09,3.86,3.94,363004.29
2019-03-04,3.96,4.33,3.93,4.33,983696.6
2019-03-05,4.22,4.34,4.15,4.34,776921.8
2019-03-06,4.29,4.65,4.21,4.54,831760.39
2019-03-07,4.49,4.86,4.41,4.71,746315.6
2019-03-08,4.58,4.69,4.24,4.24,619514.85
2019-03-11,4.24,4.39,4.17,4.38,423871.45
2019-03-12,4.42,4.6,4.36,4.6,595129.03
2019-03-13,4.62,4.69,4.29,4.36,453281.59
2019-03-14,4.37,4.46,4.11,4.27,351608.08
2019-03-15,4.24,4.35,4.21,4.28,273690.79
2019-03-18,4.29,4.32,4.17,4.31,234741.81
2019-03-19,4.3,4.64,4.23,4.51,639518.33
2019-03-20,4.47,4.85,4.34,4.67,624459.27
2019-03-21,4.58,5.06,4.58,4.93,973734.2
2019-03-22,4.81,4.91,4.61,4.67,599302.31
2019-03-25,4.52,4.61,4.4,4.45,372799.08
2019-03-26,4.45,4.5,4.18,4.2,327194.7
2019-03-27,4.23,4.28,4.11,4.19,198891.36
2019-03-28,4.18,4.23,4.03,4.05,238548.75
2019-03-29,4.07,4.19,3.98,4.18,227464.17
2019-04-01,4.2,4.36,4.18,4.33,256555.06
2019-04-02,4.37,4.43,4.3,4.33,277300.5
2019-04-03,4.31,4.41,4.25,4.4,240891.98
2019-04-04,4.42,4.59,4.33,4.48,379828.42
2019-04-08,4.48,4.6,4.3,4.5,449490.02
2019-04-09,4.45,4.54,4.38,4.48,267381.2
2019-04-10,4.47,4.72,4.36,4.66,558239.17
2019-04-11,4.46,4.49,4.19,4.19,749606.28
2019-04-12,4.03,4.13,4.01,4.03,385678.09
2019-04-15,4.06,4.13,3.96,3.98,223018.55
2019-04-16,3.95,4.1,3.94,4.09,225553.77
2019-04-17,4.09,4.19,4.06,4.15,262134.81
2019-04-18,4.18,4.21,4.13,4.17,246321.83
2019-04-19,4.16,4.18,4.07,4.15,221926.77
2019-04-22,4.15,4.23,4.1,4.14,241316.66
2019-04-23,4.15,4.15,3.9,3.94,294514.96
2019-04-24,3.95,4.33,3.94,4.24,763006.15
2019-04-25,4.13,4.25,3.96,3.97,462362.78
2019-04-26,3.93,3.93,3.57,3.6,478277.21
2019-04-29,3.56,3.56,3.25,3.25,362153.17
2019-04-30,2.96,3.37,2.96,3.27,312410.4
2019-05-06,3.16,3.46,3.16,3.3,472095.32
2019-05-07,3.31,3.38,3.12,3.28,307283.27
2019-05-08,3.18,3.26,3.13,3.17,236604.33
2019-05-09,3.13,3.29,3.11,3.18,208208.23
2019-05-10,3.2,3.27,3.16,3.26,187969.03
2019-05-13,3.2,3.22,3.08,3.1,228797.59
2019-05-14,3.16,3.2,3.12,3.12,221891.97
2019-05-15,3.18,3.35,3.14,3.29,328810.61
2019-05-16,3.31,3.41,3.29,3.33,236156.95
2019-05-17,3.39,3.42,3.13,3.16,193503.07
2019-05-20,3.15,3.16,3.0,3.11,164463.94
2019-05-21,3.11,3.17,3.04,3.14,136832.72
2019-05-22,3.15,3.23,3.08,3.09,240363.59
2019-05-23,2.95,3.02,2.85,2.89,322214.79
2019-05-24,2.89,3.02,2.89,2.96,210095.59
2019-05-27,3.04,3.05,2.95,3.03,164496.0
2019-05-28,3.02,3.24,3.02,3.08,246133.72
2019-05-29,3.06,3.11,3.0,3.04,173113.34
2019-05-30,2.79,2.85,2.74,2.74,432803.98
2019-05-31,2.61,2.68,2.51,2.54,456255.73
2019-06-03,2.56,2.78,2.54,2.78,544155.25
2019-06-04,2.8,2.8,2.5,2.57,436771.45
2019-06-05,2.59,2.62,2.48,2.5,261416.33
2019-06-06,2.47,2.52,2.37,2.5,261492.63
2019-06-10,2.43,2.46,2.31,2.35,288994.86
2019-06-11,2.37,2.49,2.34,2.47,361536.06
2019-06-12,2.5,2.58,2.46,2.5,283794.39
2019-06-13,2.53,2.75,2.49,2.62,568542.42
2019-06-14,2.66,2.71,2.47,2.49,433495.13
2019-06-17,2.5,2.5,2.4,2.44,225444.11
2019-06-18,2.44,2.58,2.44,2.49,263206.8
2019-06-19,2.54,2.61,2.51,2.55,355657.13
2019-06-20,2.6,2.74,2.56,2.7,644446.97
2019-06-21,2.97,2.97,2.97,2.97,141094.06
2019-06-24,3.14,3.27,3.07,3.27,367057.33
2019-06-25,3.24,3.24,2.97,3.04,1000214.06
2019-06-26,3.01,3.04,2.83,2.92,607441.11
2019-06-27,2.96,3.11,2.88,2.96,606811.31
2019-06-28,3.02,3.12,2.97,3.07,581189.69
2019-07-01,3.11,3.25,3.05,3.08,623362.72
2019-07-02,3.05,3.2,2.95,3.12,576614.14
2019-07-03,3.12,3.18,3.03,3.06,446020.57
